beacon_id,MAC
29292,0C:F3:EE:16:71:CC
94316,0C:F3:EE:1D:48:1D
86604,0C:F3:EE:1D:48:1D
74924,0C:F3:EE:1D:44:90
25388,0C:F3:EE:1D:45:ED
81132,0C:F3:EE:1D:45:83
24748,0C:F3:EE:1D:44:F3
3244,0C:F3:EE:1D:45:C1
30412,0C:F3:EE:1D:44:B6
70220,0C:F3:EE:1D:45:13
64556,0C:F3:EE:16:74:B4
52812,0C:F3:EE:16:6A:79
42284,0C:F3:EE:16:74:D0
47820,0C:F3:EE:16:74:DB
70892,0C:F3:EE:16:75:5F
51180,0C:F3:EE:16:70:26
17068,0C:F3:EE:16:78:B7
95596,0C:F3:EE:16:70:36
83788,0C:F3:EE:16:78:99
34188,0C:F3:EE:16:70:DD
14028,0C:F3:EE:16:6A:3E
35084,0C:F3:EE:16:71:47
44844,0C:F3:EE:16:78:B8
92908,0C:F3:EE:16:75:D3
31084,0C:F3:EE:16:6B:C5
89580,0C:F3:EE:16:78:14
8044,0C:F3:EE:16:72:0A
18284,0C:F3:EE:16:71:92
51564,0C:F3:EE:16:71:B0
59756,0C:F3:EE:16:75:6D
972,0E:F3:EE:78:46:75
2922,0E:F3:EE:78:40:83
3091,0E:S3:EE:78:42:52
3433,0E:F3:EE:78:45:94
3474,0E:F3:EE:78:46:35
3931,0E:F3:EE:78:50:92
7980,0E:F3:EE:78:50:78
8079,0E:F3:EE:78:50:78
14169,0C:F3:EE:16:6A:79
16044,NA
16106,0C:F3:EE:16:72:0A
16973,0C:F3:EE:16:75:6D
17069,NA
17652,0C:F3:EE:16:78:14
17708,0C:F3:EE:1D:41:10
17815,0C:F3:EE:16:78:B7
23212,0E:F3:EE:78:46:65
24478,NA
24652,0E:F3:EE:78:50:75
25242,0E53EE785076
31004,NA
34380,0E:F3:EE:78:46:33
44300,0E:F3:EE:78:40:83
45484,0E:F3:EE:78:46:37
46145,0C:F3:EE:1D:44:90
46244,0C:F3:EE:1D:44:F3
46435,0C:F3:EE:1D:48:1D
46450,0C:F3:EE:1D:45:C1
47652,NA
51116,0E:F3:EE:78:45:94
52428,0E:F3:EE:78:50:76
52429,0E:F3:EE:78:50:76
52813,NA
78828,0E:F3:EE:78:46:31
89932,NA
95084,0E:F3:EE:78:42:52
95085,NA
96844,0E:F3:EE:78:50:92
