"","hhid","phase_selected","logger_location","logger_id","sample_date","datetime_flag","completeness_fl","time_interval_fl","beacon_presence_fl","beacon_time","startup_proc_fl","duration_fl"
"1","13001","4","HOP","BLEL733","01022019","0","0","0","0","0","0","0"
"2","13001","4","KAP","BLEL731","01022019","0","0","0","0","0","0","0"
"3","13001","4","PEM","BLEL742","01022019","0","0","0","0","0","0","0"
"4","13002","4","KAP","BLEL744","13022019","0","0","0","0","0","0","0"
"5","13002","4","PEM","BLEL733","13022019","0","0","0","0","0","0","0"
"6","13002","4","SAP","BLEL732","13022019","0","0","0","0","0","0","0"
"7","13003","4","HOP","BLEL741","04022019","0","0","0","0","0","0","0"
"8","13003","4","KAP","BLEL737","04022019","0","0","0","0","0","1","0"
"9","13003","4","PEM","BLEL742","04022019","0","0","0","0","0","0","0"
"10","13003","4","SAP","BLEL745","04022019","0","0","0","0","0","0","0"
