mission_id,mission_name,meter_name,meter_id,sample_interval,notes,campaign,creator_username
5dee2862-0000-0000-0000-CC78AB77FFA5,Dot-FFA5 | 2019-12-09 13:55,Dot-FFA5,CC:78:AB:77:FF:A5,300,,CAA-Kenya,caakenya
5bf56721-0000-0000-0000-CC78AB77EA80,3-7-05-01,Dot-EA80,CC:78:AB:77:EA:80,300,OHC,MINEM test campaign,olguita
5bf59267-0000-0000-0000-CC78AB6E0346,3-7-05-05,Dot-0346,CC:78:AB:6E:03:46,300,OHC,MINEM test campaign,olguita
5bfbdd0e-0000-0000-0000-CC78AB77FCE0,3-2-05-07,Dot-FCE0,CC:78:AB:77:FC:E0,300,MGP,MINEM test campaign,galinka29@hotmail.com
5bfbdd33-0000-0000-0000-CC78AB6E026E,3-7-05-07,Dot-026E,CC:78:AB:6E:02:6E,300,MGP,MINEM test campaign,galinka29@hotmail.com
5bfbe3b1-0000-0000-0000-CC78AB781FBD,3-7-05-02,Dot-1FBD,CC:78:AB:78:1F:BD,300,MGP,MINEM test campaign,galinka29@hotmail.com
5bfbeac9-0000-0000-0000-CC78AB77E324,3-2-05-09,Dot-E324,CC:78:AB:77:E3:24,300,MGP,MINEM test campaign,galinka29@hotmail.com
5d8c8121-0000-0000-0000-CC78AB77F24F,Dot-F24F | 2019-09-26 12:12,Dot-F24F,CC:78:AB:77:F2:4F,300,,CAA-Kenya,caakenya
5bfbe370-0000-0000-0000-CC78AB6DFC74,3-2-05-08,Dot-FC74,CC:78:AB:6D:FC:74,300,,MINEM test campaign,galinka29@hotmail.com
5d8c81dd-0000-0000-0000-CC78AB6E05D9,Dot-05D9 | 2019-09-26 12:15,Dot-05D9,CC:78:AB:6E:05:D9,300,,CAA-Kenya,caakenya
5d8223ef-0000-0000-0000-CC78AB77FFBC,Dot-FFBC | 2019-09-18 15:31,Dot-FFBC,CC:78:AB:77:FF:BC,300,,CAA-Kenya,caakenya
5da44402-0000-0000-0000-CC78AB6E059F,Dot-059F | 2019-10-14 12:45,Dot-059F,CC:78:AB:6E:05:9F,300,,CAA-Kenya,caakenya
5da44552-0000-0000-0000-CC78AB6DFEB1,Dot-FEB1 | 2019-10-14 12:51,Dot-FEB1,CC:78:AB:6D:FE:B1,300,,CAA-Kenya,caakenya
5da436b4-0000-0000-0000-CC78AB77FE72,Dot-FE72 | 2019-10-14 11:48,Dot-FE72,CC:78:AB:77:FE:72,300,,CAA-Kenya,caakenya
5d373da8-0000-0000-0000-CC78AB77E9F1,Dot-E9F1 | 2019-07-23 12:00,Dot-E9F1,CC:78:AB:77:E9:F1,300,cocina villa el salvador,NAMA Piloto Solar y Ventilador,namas
5d373de7-0000-0000-0000-CC78AB77E9F1,Dot-E9F1 | 2019-07-23 12:03,Dot-E9F1,CC:78:AB:77:E9:F1,300,hdkdbsn,NAMA Piloto Solar y Ventilador,namas
5d5991ed-0000-0000-0000-CC78AB77E9EC,Dot-E9EC | 2019-08-18 12:56,Dot-E9EC,CC:78:AB:77:E9:EC,300,"Caylloma
Sonia Malcoacha Nina
control cocina solar
Codigo Dot-E9EC",NAMA Piloto Solar y Ventilador,namas
5d62d802-0000-0000-0000-CC78AB77EA80,Dot-EA80 | 2019-08-25 13:47,Dot-EA80,CC:78:AB:77:EA:80,300,"Aurora Villalta, Localidad de Cahualla, Puno, sensor cocina solar",NAMA Piloto Solar y Ventilador,namas
bbac77b8-0340-49eb-89d3-8668f7b61e83,SLV_011_TS_6,,780000000462C053,480,,Smokeless Village,bamg-01
555abb06-a47e-409b-9c04-a4728db6ed20,SLV_024_TS_6,,520000000459D753,480,,Smokeless Village,bamg-01
31e6ee79-4f83-4468-8601-a34172552a32,SLV_008_TS_6,,2600000004237C53,480,,Smokeless Village,bamg-01
5d7a4727-0000-0000-0000-CC78AB77FAEE,Dot-FAEE | 2019-09-12 16:24,Dot-FAEE,CC:78:AB:77:FA:EE,300,,CAA-Kenya,caakenya
43d1d5b6-e61d-499e-b703-239a6a567f5a,SLV_003_TS_6,,1F0000000457F453,480,,Smokeless Village,bamg-01
6746ae45-0232-4ce4-847c-6c92aedda319,SLV_012_TS_6,,C600000004123853,480,,Smokeless Village,bamg-01
c8d026a3-7735-4f18-bf32-6f2bee79d108,SLV_002_TS_6,,B80000000457C953,480,,Smokeless Village,bamg-01
4f2bc5d0-aed2-401c-9774-4ef84cb38a1c,SLV_005_TS_6,,5700000004212853,480,,Smokeless Village,bamg-01
5d89d3aa-0000-0000-0000-CC78AB6E05AF,Dot-05AF | 2019-09-24 11:27,Dot-05AF,CC:78:AB:6E:05:AF,300,,CAA-Kenya,caakenya
5d89d40b-0000-0000-0000-CC78AB77E32D,Dot-E32D | 2019-09-24 11:29,Dot-E32D,CC:78:AB:77:E3:2D,300,,CAA-Kenya,caakenya
5d89d098-0000-0000-0000-CC78AB77F9F8,Dot-F9F8 | 2019-09-24 11:13,Dot-F9F8,CC:78:AB:77:F9:F8,300,,CAA-Kenya,caakenya
4a8f3d55-2f24-40d8-bc1f-f865312dce12,SLV_016_TS_6,,240000000431D453,480,,Smokeless Village,bamg-01
587de86c-1fd8-480c-ad4f-32facc218a46,SLV_007_TS_6,,5D00000004624A53,480,,Smokeless Village,bamg-01
5795919a-7127-4cf4-a5ea-b2e0b11143e1,SLV_006_TS_6,,840000000440D453,480,,Smokeless Village,bamg-01
6429a391-1bf4-493f-b18f-4099d26ac6ae,SLV_015_TS_6,,B7000000041B8F53,480,,Smokeless Village,bamg-01
934acb7b-6305-4580-8b75-dcd31a41a1db,SLV_010_TS_6,,1E0000000418E053,480,,Smokeless Village,bamg-01
5594be7c-aebc-462b-9ad1-a16fd55d3fb4,SLV_014_TS_6,,67000000043CA553,480,,Smokeless Village,bamg-01
ee9f1720-7286-4445-bfb9-7d8f255b1a99,SLV_009_TS_6,,7D0000000452E153,480,,Smokeless Village,bamg-01
22d8a6ef-46c0-4502-b251-104ca71a5417,SLV_025_TS_6,,EF0000000409B253,480,,Smokeless Village,bamg-01
668bbe87-4af5-4c40-bc4d-23ec5b1ab121,SLV_020_TS_6,,CF00000004088253,480,,Smokeless Village,bamg-01
5113c35d-7e66-40c9-9188-cb30ab981acb,SLV_018_TS_6,,3500000004190A53,480,,Smokeless Village,bamg-01
97322b26-c907-445c-b38c-16f34735c067,SLV_019_TS_6,,54000000041EBB53,480,,Smokeless Village,bamg-01
1e3f885e-4e07-4cb2-803b-6d8cadb6b5ae,SLV_021_TS_6,,A900000004401253,480,,Smokeless Village,bamg-01
5d35f096-0000-0000-0000-CC78AB77E9F1,Dot-E9F1 | 2019-07-22 12:20,Dot-E9F1,CC:78:AB:77:E9:F1,300,,NAMA Piloto Solar y Ventilador,namas
c060a296-ef2f-43f6-a5fe-495be1982944,SLV_013_TS_6,,71000000040C8A53,480,,Smokeless Village,bamg-01
c6990a4c-1c42-47ac-9678-06c1fe15c1f5,SLV_004_TS_6,,8B00000004597053,480,,Smokeless Village,bamg-01
1092f0c4-4a48-4520-8160-82b607b60ab3,SLV_017_TS_6,,46000000041B4D53,480,,Smokeless Village,bamg-01
4d0c4216-332f-4496-a187-c0fc1e01cf5f,SLV_024_TS_5,,520000000459D753,480,,Smokeless Village,bamg-01
510a5f77-1e10-4e40-84f4-bdcf640901b9,SLV_003_TS_5,,1F0000000457F453,480,,Smokeless Village,bamg-01
015ee116-b42e-40cb-9605-de6f70a11116,SLV_004_TS_5,,8B00000004597053,480,,Smokeless Village,bamg-01
4b9359b0-0398-4dd4-97be-6e73c91b3a17,SLV_005_TS_5,,5700000004212853,480,,Smokeless Village,bamg-01
f822a57d-9f3f-4a96-9b27-b2682d5493cd,SLV_007_TS_5,,5D00000004624A53,480,,Smokeless Village,bamg-01
0f64d945-5bec-4a71-9c06-cd8c5b86079d,SLV_008_TS_5,,2600000004237C53,480,,Smokeless Village,bamg-01
5d3a445f-0000-0000-0000-CC78AB77E9F1,Dot-E9F1 | 2019-07-25 19:06,Dot-E9F1,CC:78:AB:77:E9:F1,300,,NAMA Piloto Solar y Ventilador,namas
