"Question name","#","Section","Question Id","Question text","Question type"
"Household Study ID","1","BASIC INFORMATION","1394991","Translate from English to French: Translate from French to English: Code identification ménage:","Single Line"
"County","2","BASIC INFORMATION","1394992","Translate from English to French: Village Name","Select One"
"Staff Code","3","BASIC INFORMATION","1394994","Translate from English to French: Staff Code","Select One"
"Date of interview","4","BASIC INFORMATION","1394995","Translate from English to French: Date of interview","Date"
"Time of interview","5","BASIC INFORMATION","1395000","Translate from English to French: Other specify","Time"
"A6","6","BASIC INFORMATION","1509636","Translate from English to French: Are you able to carry out the survey for this respondent?","Select One"
"A7","7","BASIC INFORMATION","1509637","Translate from English to French: Why do you need to stop the survey?","Select One"
"A7a","8","BASIC INFORMATION","1509638","Translate from English to French: Other, specify","Single Line"
"A8","9","BASIC INFORMATION","1509639","Translate from English to French: Other Field notes of any issues that need to be documented","Free Text"
"Same respondent","10","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1395072","Translate from English to French: Are you the respondent that took part in the first survey for this study?","Select One"
"Gender","11","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1395001","Translate from English to French: Record Gender (no need to ask)","Select One"
"Age","12","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1395002","Translate from English to French: How old are you?","Integer"
"Marital Status","13","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1395003","Translate from English to French: What is your marital status? Are you .","Select One"
"Ethnic Group","14","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1509370","Translate from English to French: Ethnic group","Select One"
"Ethnic Group a","15","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1509371","Translate from English to French: Other, specify","Single Line"
"Household Head","16","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1395004","Translate from English to French: Are you the head of household?","Select One"
"Main Cook","17","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1395008","Translate from English to French: Are you the main cook of this household?","Select One"
"B6","18","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1509640","Translate from English to French: What is your highest level of schooling?","Select One"
"B6a","19","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1510101","Translate from English to French: Other, specify","Single Line"
"Number of children under 5","20","EDUCATION AND SOCIO-DEMOGRAPHIC CHARACTERISTICS","1395012","Translate from English to French: How many children under 5 years old live in your household?","Integer"
"Own or Rent","21","SOCIO-ECONOMIC CHARACTERISTICS ","1395014","Translate from English to French: Do you own or rent the house you live in (or other arrangement)?","Select One"
"C1a","22","SOCIO-ECONOMIC CHARACTERISTICS ","1509655","Translate from English to French: Other arrangement, specify","Single Line"
"Number of rooms in household","23","SOCIO-ECONOMIC CHARACTERISTICS ","1397099","Translate from English to French: How many rooms (excluding the kitchen and storage room(s)) does this household have?","Integer"
"Head of household employment status","24","SOCIO-ECONOMIC CHARACTERISTICS ","1395015","Translate from English to French: Does the head of household have a regular cash income or salaried job?","Select One"
"Head of household Occupation","25","SOCIO-ECONOMIC CHARACTERISTICS ","1395016","Translate from English to French: How does the head of the household earn his/her living?","Select Many"
"Main occupation","26","SOCIO-ECONOMIC CHARACTERISTICS ","1397117","Translate from English to French: What is your main occupation or job? (Select from list in C3) (Ask only if answered 0 in B4)","Select One"
