"Question name","#","Section","Question Id","Question text","Question type"
"A1","1","SECTION A: COOK MONITORING ","1514078","Field worker name ","Select One"
"A2","2","SECTION A: COOK MONITORING ","1514079","Date","Date"
"A3","3","SECTION A: COOK MONITORING ","1518642","Are you the main cook of the household and did you complete the previous survey that included the blood pressure monitoring?","Select One"
"Re-Sampled","4","SECTION A: COOK MONITORING ","1547746","Are you at this household to do a re-sample of CAA (and UNOPS, if applicable) measurements?","Select One"
"A4","5","SECTION A: COOK MONITORING ","1514080","How old are you?","Integer"
"A5","6","SECTION A: COOK MONITORING ","1514081","Record Gender","Select One"
"A6","7","SECTION A: COOK MONITORING ","1514082","Are there any children under 5 in this house?","Select One"
"A7","8","SECTION A: COOK MONITORING ","1514083","Do you have any health conditions (e.g. heart palpitations, anxiety) that would make wearing a monitor in your chest area for 24 hours difficult?","Select One"
"Working","9","SECTION A: COOK MONITORING ","1535511","Do you plan to travel or work outside of your home for a period of 5 hours or more during the next 24 hours when you'll be wearing the monitor?","Select One"
"Work Outside","10","SECTION A: COOK MONITORING ","1535512","Will you be willing and able to wear the monitor for the period of time when you are outside of your house?","Select One"
"A7-1a","11","SECTION A: COOK MONITORING ","1514085","Does the participant consent to wearing the monitors, having their child under age 5 wear the monitors and having monitors in their kitchen?","Select One"
"A8-0","12","SECTION A: COOK MONITORING ","1521391","Micropem ID","Free Text"
"A9-0","13","SECTION A: COOK MONITORING ","1521392","LASCAR ID","Free Text"
"A10","14","SECTION A: COOK MONITORING ","1518644","Do not read this question out loud, this is just for you to answer]

Is a fieldworker trained on the UNOPS study present and all equipment associated with UNOPS study (e.g. UPAS, PATS+, Beacon logger) available be placed in this home?","Select One"
"A10-1","15","SECTION A: COOK MONITORING ","1518646","Are you okay with having monitors placed in your living room area as well?","Select One"
"A10-2","16","SECTION A: COOK MONITORING ","1518648","[Explain to the participant that we would like to measure the emissions from their stove as part of a separate study]
Is it ok if we come back today while you cook a meal to measure the smoke from your stove?","Select One"
"A10-3","17","SECTION A: COOK MONITORING ","1514091","About what time are you cooking your next meal on the main stove in your home, and can we return a few minutes before this time? [Enter current time if cooking now. Otherwise, confirm that you can return to the home at later time]","Time"
"A10-4","18","SECTION A: COOK MONITORING ","1518651","Field worker name (who will be placing the monitors for the UNOPs study in the household)","Select One"
"A11","19","SECTION A: COOK MONITORING ","1518672","Bluetooth Beacon ID 1","Free Text"
"A12","20","SECTION A: COOK MONITORING ","1514094","Bluetooth Beacon ID 2","Free Text"
"A12-1","21","SECTION A: COOK MONITORING ","1518953","Beacon loggers start and end times (for 1 and 2) 5 minutes

Start Time","Time"
"A12-1a","22","SECTION A: COOK MONITORING ","1518954","End Time","Time"
"A12-2","23","SECTION A: COOK MONITORING ","1518955","Walkthrough in primary kitchen  

Start Time","Time"
"A12-2a","24","SECTION A: COOK MONITORING ","1518956","End Time","Time"
"A12-3","25","SECTION A: COOK MONITORING ","1518957","Walkthrough in secondary area 

Start Time","Time"
"A12-3a","26","SECTION A: COOK MONITORING ","1518958","End Time","Time"
"B1","27","SECTION B: Kitchen Monitoring ","1514096","House ID","Free Text"
"B2","28","SECTION B: Kitchen Monitoring ","1514097","How close of a walk is your house to the major road in the community?","Select One"
"B3","29","SECTION B: Kitchen Monitoring ","1514098","[Do not read this question out loud, this is just for you to answer]

If participant owns a manufactured biomass stove, record if the stove has any of the following","Select Many"
"B4","30","SECTION B: Kitchen Monitoring ","1514099","Kitchen location","Select One"
"B90","31","SECTION B: Kitchen Monitoring ","1521396","Kitchen Micropem monitor ID","Free Text"
"B100","32","SECTION B: Kitchen Monitoring ","1521397","Kitchen LASCAR ID","Free Text"
"B11","33","SECTION B: Kitchen Monitoring ","1514106","[Do not read this question out loud, this is just for you to answer]
Is equipment for the non-intensive UNOPS study being placed in this home?","Select One"
"B11-1","34","SECTION B: Kitchen Monitoring ","1514107","(Kitchen) Beacon Logger ID","Single Line"
"B11-2","35","SECTION B: Kitchen Monitoring ","1514108","[Do not read this question out loud, this is just for you to answer]
Is this household being considered for  intensive UNOPS study and are two PATS+ available for to be placed (in kitchen and living room)?","Select One"
"B11-3","36","SECTION B: Kitchen Monitoring ","1514109","Are you okay with having some monitors in your kitchen and living area for 4 days instead of 1 day (24 hours)? You would only wear the monitors for 1 day.","Select One"
