"","qa_date","fullname","basename","sampleID","filterID","sampletype","fieldworkerID","HHID","loggerID","shutdown_reason","dutycycle","AverageVolumetricFlowRate","RunTimeHrs","software_vers","datetime_start","filterID_upas","app_version","gps_lat_med","gps_lon_med","flow_mean","flow_sd","flow_min","flow_max","percent_flow_deviation","flow_flag","inletp_flag","temp_flag","rh_flag","shutdown_flag","filename_flag","flag_total","smry","analysis"
"1",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-09-19_KE152-KE004-E_PS0963_381","2019-09-19_KE152-KE004-E_PS0963_381","KE152-KE004-E","381","E",4,152,"PS0963",1,100,1.006,0.701,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-19 09:59:16,"KE152-KE004-E__","A2.1.9",0,0,1.006,0.006,0.986,1.037,0,0,0,0,0,0,0,0,TRUE,TRUE
"2",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-09-20_KE777-KE004-A_PS0962_361","2019-09-20_KE777-KE004-A_PS0962_361","KE777-KE004-A","361","A",4,777,"PS0962",2,50,1.997,29.629,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-18 13:47:37,"KE777-KE004____","A2.1.9",0.418826,35.32342,1.997,0.008,1.982,2.018,Inf,1,0,0,0,1,0,2,TRUE,TRUE
"3",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-09-26_KE085-KE005-B_PS0964_404","2019-09-26_KE085-KE005-B_PS0964_404","KE085-KE005-B","404","B",5,85,"PS0964",1,100,1.018,0.004,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-25 05:43:36,"k______________","A2.1.9",0,0,1.018,NA,1.018,1.018,0,0,0,0,0,0,0,0,TRUE,TRUE
"4",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-09-26_KE085-KE005-E_PS0967_420","2019-09-26_KE085-KE005-E_PS0967_420","KE085-KE005-E","420","E",5,85,"PS0967",1,100,0.997,0.646,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-26 09:19:07,"KE085-KE005-E__","A2.1.9",0,0,0.997,0.014,0.885,1.007,0.01,0,0,0,0,0,0,0,TRUE,TRUE
"5",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-09-27_KE777-KE005-A_PS0962_422","2019-09-27_KE777-KE005-A_PS0962_422","KE777-KE005-A","422","A",5,777,"PS0962",2,50,0.999,70.019,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-23 07:31:42,"KE777-KE005-A__","A2.1.9",0.418813,35.323439,0.999,0.005,0.983,1.02,0,0,0,0,0,1,0,1,TRUE,TRUE
"6",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-02_KE238-KE004-E_PS0963_419","2019-10-02_KE238-KE004-E_PS0963_419","KE238-KE004-E","419","E",4,238,"PS0963",1,100,1.002,1.362,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-10-02 08:19:07,"KE238-KE004-E__","A2.1.9",0,0,1.002,0.011,0.993,1.097,0,0,0,0,0,0,0,0,TRUE,TRUE
"7",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-07_KE777-KE004-A_PS0962_334","2019-10-07_KE777-KE004-A_PS0962_334","KE777-KE004-A","334","A",4,777,"PS0962",2,50,0.999,67.483,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-30 05:25:54,"KE777-KE004-A__","A2.1.9",0.418832,35.323449,0.999,0.004,0.978,1.012,0,0,0,0,0,1,0,1,TRUE,TRUE
"8",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0962_LOG_2019-09-30T05_25_54UTC_KE777-KE004-A______334","PS0962_LOG_2019-09-30T05_25_54UTC_KE777-KE004-A______334","LOG","25",NA,NA,NA,"2019-09-30T05",2,50,0.999,67.483,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-30 05:25:54,"KE777-KE004-A__","A2.1.9",0.418832,35.323449,0.999,0.004,0.978,1.012,0,0,0,0,0,1,1,2,TRUE,TRUE
"9",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0963_2019-10-02_KE238-KE004-E_419","PS0963_2019-10-02_KE238-KE004-E_419","2019-10-02","419","02",10,2019,"KE238-KE004-E",1,100,1.002,1.362,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-10-02 08:19:07,"KE238-KE004-E__","A2.1.9",0,0,1.002,0.011,0.993,1.097,0,0,0,0,0,0,0,0,TRUE,TRUE
"10",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0963_LOG_2019-09-17T09_35_14UTC_KE777-KE004-E______126","PS0963_LOG_2019-09-17T09_35_14UTC_KE777-KE004-E______126","LOG","35",NA,NA,NA,"2019-09-17T09",1,100,1.001,0.207,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-17 09:35:14,"KE777-KE004-E__","A2.1.9",0.500552,35.294016,1.001,0.006,0.981,1.006,0,0,0,0,0,0,1,1,TRUE,TRUE
