"","fullname","basename","qa_date","sampleID","datestart","sampletype","fieldworkerID","HHID","loggerID","samplerate_minutes","sampling_duration","completeness_fl","time_interval_fl","beacon_presence_fl","beacon_time","startup_proc_fl","duration_fl","flag_total"
"1","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/BeaconLogger/2019-09-19_KE152-KE04-K_1261.csv","2019-09-19_KE152-KE04-K_1261.csv",2019-10-10,"KE152-KE04-K",2019-09-19,"K",4,152,"1261.csv",0.683333333333333,27.5416666666667,0,0,1,0,0,0,1
"2","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/BeaconLogger/2019-09-19_KE152-KE04-L_1296.csv","2019-09-19_KE152-KE04-L_1296.csv",2019-10-10,"KE152-KE04-L",2019-09-19,"L",4,152,"1296.csv",0.683333333333333,27.2205555555556,0,0,1,0,1,0,2
"3","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/BeaconLogger/2019-09-27_KE085-KE005-K_1354.csv","2019-09-27_KE085-KE005-K_1354.csv",2019-10-10,"KE085-KE005-K",2019-09-27,"K",5,85,"1354.csv",0.683333333333333,29.4033333333333,0,0,1,0,0,0,1
"4","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/BeaconLogger/2019-09-27_KE085-KE005-L_1303.csv","2019-09-27_KE085-KE005-L_1303.csv",2019-10-10,"KE085-KE005-L",2019-09-27,"L",5,85,"1303.csv",0.683333333333333,26.9727777777778,0,0,1,0,0,0,1
"5","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/BeaconLogger/2019-09-27_KE126-KE004-K_1357.csv","2019-09-27_KE126-KE004-K_1357.csv",2019-10-10,"KE126-KE004-K",2019-09-27,"K",4,126,"1357.csv",0.683333333333333,3.26333333333333,1,0,1,0,0,1,3
"6","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/BeaconLogger/2019-09-27_KE126-KE004-L_1272.csv","2019-09-27_KE126-KE004-L_1272.csv",2019-10-10,"KE126-KE004-L",2019-09-27,"L",4,126,"1272.csv",0.683333333333333,6.20472222222222,0,0,1,0,0,1,2
"7","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/BeaconLogger/2019-09-27_KE157-KE013-K_1353.csv","2019-09-27_KE157-KE013-K_1353.csv",2019-10-10,"KE157-KE013-K",2019-09-27,"K",13,157,"1353.csv",0.683333333333333,74.1336111111111,0,0,1,0,0,0,1
"8","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/BeaconLogger/2019-09-27_KE157-KE013-L_1365.csv","2019-09-27_KE157-KE013-L_1365.csv",2019-10-10,"KE157-KE013-L",2019-09-27,"L",13,157,"1365.csv",0.35,73.6919444444444,0,0,1,0,1,0,2
"9","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/BeaconLogger/2019-10-07_KE238-KE013-K_1351.csv","2019-10-07_KE238-KE013-K_1351.csv",2019-10-10,"KE238-KE013-K",2019-10-07,"K",13,238,"1351.csv",0.683333333333333,75.6538888888889,0,0,1,0,0,0,1
"10","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/BeaconLogger/2019-10-07_KE238-KE013-L_1306.csv","2019-10-07_KE238-KE013-L_1306.csv",2019-10-10,"KE238-KE013-L",2019-10-07,"L",13,238,"1306.csv",0.35,75.9194444444445,0,0,1,0,1,0,2
