"","HHID","datetime","PM25Cook","PM25Kitchen","CO_ppmCook","CO_ppmKitchen","CO_ppmLivingRoom","CO_ppmAmbient","RSSI_Kitchen","RSSI_LivingRoom","pm_compliant","sumstraditional_non_manufactured","sumslpg","sumstraditional_manufactured","sumscharcoal.jiko","walls_w_eaves_n","volume","door_win_m2","score","SES_quantile","Lighting","wday","primary_stove","pm25LivingRoom","pm25Ambient"
"1","KE001-KE07",2020-01-15 12:11:00,19.3762,18.9512428574461,0,NA,0,0,-63.75,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",40.9032956409454,6.685170499
"2","KE001-KE07",2020-01-15 12:16:00,23.15632,15.4134140887628,0.6,NA,0,0,-63.8,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",65.1139719871521,6.685170499
"3","KE001-KE07",2020-01-15 12:21:00,20.06576,16.5505178120397,0,NA,0,0,-68,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",30.7848860206604,6.685170499
"4","KE001-KE07",2020-01-15 12:26:00,22.23056,16.8832815880114,0,NA,0,0,-63.8,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",23.927216312027,6.685170499
"5","KE001-KE07",2020-01-15 12:31:00,23.88272,14.2763103654859,0,NA,0,0,-67.4,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",30.0137470081329,6.685170499
"6","KE001-KE07",2020-01-15 12:36:00,112.3328,14.2506707373456,0,NA,0,0,-71.4,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",23.3682777042389,6.685170499
"7","KE001-KE07",2020-01-15 12:41:00,505.54384,3280.3199638313,0,NA,0,0,-67.2,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",19.6554139545441,6.685170499
"8","KE001-KE07",2020-01-15 12:46:00,391.90976,2057.87280842488,1.7,NA,0,0,-69.6,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",12.602394931221,6.685170499
"9","KE001-KE07",2020-01-15 12:51:00,1809.50464,3129.1485784685,8.6,NA,0,0,-70.6,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",10.966574536705,6.685170499
"10","KE001-KE07",2020-01-15 12:56:00,543.0448,2353.71303862016,9.7,NA,0,0,-72.8,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",10.5155979482651,6.685170499
"11","KE001-KE07",2020-01-15 13:01:00,393.61408,860.831078318942,6.1,NA,0,0,-68.8,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",10.5652386102676,6.685170499
"12","KE001-KE07",2020-01-15 13:06:00,90.8032,1269.01740449941,0.4,NA,0,0,-64.8,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",10,6.685170499
"13","KE001-KE07",2020-01-15 13:11:00,148.91616,688.057892705544,6.3,NA,0,0,-72.6,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",10,6.685170499
"14","KE001-KE07",2020-01-15 13:16:00,216.97888,405.117014566642,9.6,NA,0,0,-74,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",10.5276941759109,6.685170499
"15","KE001-KE07",2020-01-15 13:21:00,402.91024,908.850379944257,12.5,NA,0,0,-75.8,NA,1,NA,NA,NA,NA,0,19.285,1.88,-2.13861538057067,1,"Solar-powered lantern or flashlight","Wed","Traditional solid fuel stove (non-manufactured)",12.7390719953537,6.685170499
