"Question","Variable","Value","Label"
"A00","A00","Yes","Yes"
"A00","A00","No","No"
"A1","A1","Kesses","Kesses"
"A1","A1","Turbo","Turbo"
"A 3","A 3","KE01","KE01 Kingston Anabwani"
"A 3","A 3","KE02","KE02 Noelle Sutton"
"A 3","A 3","KE03","KE03 Joan Chepng'eno"
"A 3","A 3","KE04","KE04 Gilbert Nyauke"
"A 3","A 3","KE05","KE05 Bernard Bosire"
"A 3","A 3","KE06","KE06 Sharon Cherono"
"A 3","A 3","KE07","KE07 Seth Owiti"
"A 3","A 3","KE08","KE08 Ruth Jepchirchir"
"A 3","A 3","KE09 ","KE09 Joseck Erambo"
"A 3","A 3","KE10","KE10 Rachel Samoei"
"B1","B1","Male","Male"
"B1","B1","Female","Female"
"B3","B3","1","Married"
"B3","B3","2","Living together with partner/cohabiting"
"B3","B3","3","Single"
"B3","B3","4","Widowed"
"B3","B3","5","Divorced/ Separated"
"B 4","B 4","1","Kalenjin"
"B 4","B 4","2","Kikuyu"
"B 4","B 4","3","Luhya"
"B 4","B 4","4","Luo"
"B 4","B 4","5","Kamba"
"B 4","B 4","6","Maasai"
"B 4","B 4","7","Kisii"
"B 4","B 4","8","Other, specify"
"B4","B4","Yes","Yes"
"B4","B4","No","No"
"B13","B13","1","No formal education"
"B13","B13","2","Primary"
"B13","B13","3","Secondary/High school"
"B13","B13","4","University (Under graduate, Post graduate)"
"B13","B13","5","Other, specify"
"B6","B6","1","No formal education"
"B6","B6","2","Primary"
"B6","B6","3","Secondary/High school"
"B6","B6","4","University (Under graduate, Post graduate)"
"B6","B6","5","Other, specify"
"B7","B7","Yes","Yes"
"B7","B7","No","No"
"B8","B8","1","Respondent"
"B8","B8","2","Spouse/partner"
"B8","B8","3","Other specify"
"C1","C1","1","Rent"
"C1","C1","2","Own"
"C1","C1","3","Other arrangement (please specify)"
"C2","C2","Yes","Yes"
"C2","C2","No","No"
"C3","C3_Farms own land (whether that land is owned or rented)","1","Y - Farms own land (whether that land is owned or rented)"
"C3","C3_Farms own land (whether that land is owned or rented)","0","N - Farms own land (whether that land is owned or rented)"
"C3","C3_Day labourer (farming another person’s land, builder, daily worker etc.)","1","Y - Day labourer (farming another person’s land, builder, daily worker etc.)"
"C3","C3_Day labourer (farming another person’s land, builder, daily worker etc.)","0","N - Day labourer (farming another person’s land, builder, daily worker etc.)"
"C3","C3_Government employee (doctor, nurse, police, teacher etc.)","1","Y - Government employee (doctor, nurse, police, teacher etc.)"
"C3","C3_Government employee (doctor, nurse, police, teacher etc.)","0","N - Government employee (doctor, nurse, police, teacher etc.)"
"C3","C3_Employee in a business (Factory/industrial worker, works in a shop, receptionist, security guard, etc.)","1","Y - Employee in a business (Factory/industrial worker, works in a shop, receptionist, security guard, etc.)"
"C3","C3_Employee in a business (Factory/industrial worker, works in a shop, receptionist, security guard, etc.)","0","N - Employee in a business (Factory/industrial worker, works in a shop, receptionist, security guard, etc.)"
"C3","C3_Has own business (businessman, owns a shop, trader etc.)","1","Y - Has own business (businessman, owns a shop, trader etc.)"
"C3","C3_Has own business (businessman, owns a shop, trader etc.)","0","N - Has own business (businessman, owns a shop, trader etc.)"
"C3","C3_Craftsperson (tailor, carpenter, seamstress etc.)","1","Y - Craftsperson (tailor, carpenter, seamstress etc.)"
"C3","C3_Craftsperson (tailor, carpenter, seamstress etc.)","0","N - Craftsperson (tailor, carpenter, seamstress etc.)"
"C3","C3_Run the household / Care for family","1","Y - Run the household / Care for family"
"C3","C3_Run the household / Care for family","0","N - Run the household / Care for family"
"C3","C3_Retired","1","Y - Retired"
"C3","C3_Retired","0","N - Retired"
"C3","C3_Other type of job","1","Y - Other type of job"
"C3","C3_Other type of job","0","N - Other type of job"
"C3","C3_Currently unemployed / nothing","1","Y - Currently unemployed / nothing"
"C3","C3_Currently unemployed / nothing","0","N - Currently unemployed / nothing"
"C4","C4","1","Less than/equal to 25,000 KSH"
"C4","C4","2","26-50,000"
"C4","C4","9","51-100,00"
"C4","C4","3","101-200,000"
"C4","C4","4","201-300,000"
"C4","C4","5","301-400,000"
"C4","C4","6","Greater than 400,000"
"C4","C4","7","Don’t know"
"C4","C4","8","Won’t answer"
"C5","C5","Yes","Yes"
"C5","C5","No","No"
"C6","C6_Animal(s) (cows, sheep, goats etc.)","1","Y - Animal(s) (cows, sheep, goats etc.)"
"C6","C6_Animal(s) (cows, sheep, goats etc.)","0","N - Animal(s) (cows, sheep, goats etc.)"
"C6","C6_Cell phone","1","Y - Cell phone"
"C6","C6_Cell phone","0","N - Cell phone"
"C6","C6_Smart phone","1","Y - Smart phone"
"C6","C6_Smart phone","0","N - Smart phone"
"C6","C6_Radio","1","Y - Radio"
"C6","C6_Radio","0","N - Radio"
"C6","C6_Hi-Fi / CD-player","1","Y - Hi-Fi / CD-player"
"C6","C6_Hi-Fi / CD-player","0","N - Hi-Fi / CD-player"
"C6","C6_Solar connection","1","Y - Solar connection"
"C6","C6_Solar connection","0","N - Solar connection"
"C6","C6_Electricity Connection","1","Y - Electricity Connection"
"C6","C6_Electricity Connection","0","N - Electricity Connection"
"C6","C6_TV","1","Y - TV"
"C6","C6_TV","0","N - TV"
"C6","C6_Satellite TV","1","Y - Satellite TV"
"C6","C6_Satellite TV","0","N - Satellite TV"
"C6","C6_Refrigerator/ fridge/freezer","1","Y - Refrigerator/ fridge/freezer"
"C6","C6_Refrigerator/ fridge/freezer","0","N - Refrigerator/ fridge/freezer"
"C6","C6_Shower / bath within house","1","Y - Shower / bath within house"
"C6","C6_Shower / bath within house","0","N - Shower / bath within house"
"C6","C6_Land","1","Y - Land"
"C6","C6_Land","0","N - Land"
"C6","C6_Bicycle","1","Y - Bicycle"
"C6","C6_Bicycle","0","N - Bicycle"
"C6","C6_Moped/Motorcycle","1","Y - Moped/Motorcycle"
"C6","C6_Moped/Motorcycle","0","N - Moped/Motorcycle"
"C6","C6_Pick-up truck","1","Y - Pick-up truck"
"C6","C6_Pick-up truck","0","N - Pick-up truck"
"C6","C6_Car","1","Y - Car"
"C6","C6_Car","0","N - Car"
"C6","C6_Computer","1","Y - Computer"
"C6","C6_Computer","0","N - Computer"
"C6","C6_Washing machine","1","Y - Washing machine"
"C6","C6_Washing machine","0","N - Washing machine"
"C6","C6_Tractor","1","Y - Tractor"
"C6","C6_Tractor","0","N - Tractor"
"C7","C7","Yes","Yes"
"C7","C7","No","No"
"C8","C8","1","Pipe in home"
"C8","C8","2","Pump (deep well)"
"C8","C8","3","Well (pit with bucket)"
"C8","C8","4","Communal standpipe"
"C8","C8","5","Collect from river"
"C8","C8","6","Other"
"C9","C9","Yes","Yes"
"C9","C9","No","No"
"C10","C10","Yes","Yes"
"C10","C10","No","No"
"D1","D1","Yes","Yes"
"D1","D1","No","No"
"D2","D2","1","Electric stove"
"D2","D2","2","Kerosene stove"
"D2","D2","3","Cooking gas/LPG stove"
"D2","D2","4","Traditional solid fuel stove (non-manufactured) )"
"D2","D2","5","Manufactured solid fuel stove"
"D2","D2","6","Three stone stove/open fire"
"D2","D2","7","Other, specify"
"D3","D3","1","Charcoal unprocessed"
"D3","D3","2","Charcoal briquettes/pellets"
"D3","D3","3","Wood"
"D3","D3","4","Agricultural or crop residue/grass/"
"D3","D3","5","straw/shrubs/corn cobs"
"D3","D3","6","Animal waste/dung"
"D3","D3","7","Processed biomass pellets/briquettes"
"D3","D3","8","Woodchips"
"D3","D3","9","Garbage/plastic"
"D3","D3","10","Sawdust"
"D3","D3","11","Other, specify"
"D4","D4","1","Often (more than once a month)"
"D4","D4","2","Sometimes (4-12 times a year)"
"D4","D4","3","Rarely (less than 4 times a year)"
"D4","D4","4","Never (always available)"
"D4","D4","5","Don’t know / Unsure"
"D5","D5_1.	None","1","Y - 1.	None"
"D5","D5_1.	None","0","N - 1.	None"
"D5","D5_2.	Adult burned","1","Y - 2.	Adult burned"
"D5","D5_2.	Adult burned","0","N - 2.	Adult burned"
"D5","D5_3.	Child burned","1","Y - 3.	Child burned"
"D5","D5_3.	Child burned","0","N - 3.	Child burned"
"D5","D5_4.	Adult scalded","1","Y - 4.	Adult scalded"
"D5","D5_4.	Adult scalded","0","N - 4.	Adult scalded"
"D5","D5_5.	Child scalded","1","Y - 5.	Child scalded"
"D5","D5_5.	Child scalded","0","N - 5.	Child scalded"
"D5","D5_6.	Fire in house","1","Y - 6.	Fire in house"
"D5","D5_6.	Fire in house","0","N - 6.	Fire in house"
"D5","D5_7.	Poisoning","1","Y - 7.	Poisoning"
"D5","D5_7.	Poisoning","0","N - 7.	Poisoning"
"D5","D5_8.	Death","1","Y - 8.	Death"
"D5","D5_8.	Death","0","N - 8.	Death"
"D5","D5_9.	Other, specify","1","Y - 9.	Other, specify"
"D5","D5_9.	Other, specify","0","N - 9.	Other, specify"
"D6","D6_Electricity","1","Y - Electricity"
"D6","D6_Electricity","0","N - Electricity"
"D6","D6_Kerosene","1","Y - Kerosene"
"D6","D6_Kerosene","0","N - Kerosene"
"D6","D6_Cooking gas/LPG","1","Y - Cooking gas/LPG"
"D6","D6_Cooking gas/LPG","0","N - Cooking gas/LPG"
"D6","D6_Charcoal unprocessed","1","Y - Charcoal unprocessed"
"D6","D6_Charcoal unprocessed","0","N - Charcoal unprocessed"
"D6","D6_Charcoal briquettes/pellets","1","Y - Charcoal briquettes/pellets"
"D6","D6_Charcoal briquettes/pellets","0","N - Charcoal briquettes/pellets"
"D6","D6_Wood","1","Y - Wood"
"D6","D6_Wood","0","N - Wood"
"D6","D6_Agricultural or crop residue/grass/","1","Y - Agricultural or crop residue/grass/"
"D6","D6_Agricultural or crop residue/grass/","0","N - Agricultural or crop residue/grass/"
"D6","D6_straw/shrubs/corn cobs","1","Y - straw/shrubs/corn cobs"
"D6","D6_straw/shrubs/corn cobs","0","N - straw/shrubs/corn cobs"
"D6","D6_Processed biomass pellets/briquettes","1","Y - Processed biomass pellets/briquettes"
"D6","D6_Processed biomass pellets/briquettes","0","N - Processed biomass pellets/briquettes"
"D6","D6_Woodchips","1","Y - Woodchips"
"D6","D6_Woodchips","0","N - Woodchips"
"D6","D6_Sawdust","1","Y - Sawdust"
"D6","D6_Sawdust","0","N - Sawdust"
"D6","D6_Animal waste/dung","1","Y - Animal waste/dung"
"D6","D6_Animal waste/dung","0","N - Animal waste/dung"
