"Question","Variable","Value","Label"
"D0","D0","1","KE01 Esilaba Anabwani"
"D0","D0","2","KE02 Noelle B Sutton"
"D0","D0","3","KE03 Joan Chepng'eno"
"D0","D0","4","KE04 Gilbert Nyauke"
"D0","D0","5","KE05 Ben Bosire"
"D0","D0","6","KE06 Sharon Cherono"
"D0","D0","7","KE07 Seth Owiti"
"D0","D0","8","KE08 Ruth Jepchirchir"
"D0","D0","9","KE09 Joseck Erambo"
"D0","D0","10","KE10 Rachel Samoei"
"D0","D0","11","KE11 Mary Lydia"
"D0","D0","12","KE12 Mondesta Malemo"
"D0","D0","13","KE13 Zipporah Mageto"
"D1","D1","1","Yes"
"D1","D1","0","No"
"D2","D2","1","Monitor fell off the stand or moved during the monitoring period"
"D2","D2","2","Monitor turned off before the end of the monitoring period"
"D2","D2","3","Monitor noise became louder"
"D2","D2","4","Other, specify"
"D3","D3","1","Electric stove"
"D3","D3","2","Kerosene stove"
"D3","D3","3","Cooking gas/LPG stove"
"D3","D3","4","Traditional solid fuel stove (non-manufactured)"
"D3","D3","5","Manufactured solid fuel stove"
"D3","D3","6","Three stone stove/open fire"
"D3","D3","7","Other, specify"
"D4","D4","1","Charcoal unprocessed"
"D4","D4","2","Charcoal briquettes/pellets"
"D4","D4","3","Wood"
"D4","D4","4","Agricultural or crop residue/grass/"
"D4","D4","5","straw/shrubs/corn cobs"
"D4","D4","6","Animal waste/dung"
"D4","D4","7","Processed biomass pellets/briquettes"
"D4","D4","8","Woodchips"
"D4","D4","9","Garbage/plastic"
"D4","D4","10","Sawdust"
"D4","D4","11","Other, specify"
"D6","D6_Beans","1","Y - Beans"
"D6","D6_Beans","0","N - Beans"
"D6","D6_Beef","1","Y - Beef"
"D6","D6_Beef","0","N - Beef"
"D6","D6_Cabbage","1","Y - Cabbage"
"D6","D6_Cabbage","0","N - Cabbage"
"D6","D6_Cassava","1","Y - Cassava"
"D6","D6_Cassava","0","N - Cassava"
"D6","D6_Chapati","1","Y - Chapati"
"D6","D6_Chapati","0","N - Chapati"
"D6","D6_Chicken","1","Y - Chicken"
"D6","D6_Chicken","0","N - Chicken"
"D6","D6_Fish","1","Y - Fish"
"D6","D6_Fish","0","N - Fish"
"D6","D6_French beans","1","Y - French beans"
"D6","D6_French beans","0","N - French beans"
"D6","D6_Githeri","1","Y - Githeri"
"D6","D6_Githeri","0","N - Githeri"
"D6","D6_Green grams","1","Y - Green grams"
"D6","D6_Green grams","0","N - Green grams"
"D6","D6_Kale/Sukuma wiki","1","Y - Kale/Sukuma wiki"
"D6","D6_Kale/Sukuma wiki","0","N - Kale/Sukuma wiki"
"D6","D6_Liver","1","Y - Liver"
"D6","D6_Liver","0","N - Liver"
"D6","D6_Managu","1","Y - Managu"
"D6","D6_Managu","0","N - Managu"
"D6","D6_Mandazi","1","Y - Mandazi"
"D6","D6_Mandazi","0","N - Mandazi"
"D6","D6_Matoke","1","Y - Matoke"
"D6","D6_Matoke","0","N - Matoke"
"D6","D6_Matumbo","1","Y - Matumbo"
"D6","D6_Matumbo","0","N - Matumbo"
"D6","D6_Milk","1","Y - Milk"
"D6","D6_Milk","0","N - Milk"
"D6","D6_Mokimo","1","Y - Mokimo"
"D6","D6_Mokimo","0","N - Mokimo"
"D6","D6_Mutton","1","Y - Mutton"
"D6","D6_Mutton","0","N - Mutton"
"D6","D6_Nderema","1","Y - Nderema"
"D6","D6_Nderema","0","N - Nderema"
"D6","D6_Peas","1","Y - Peas"
"D6","D6_Peas","0","N - Peas"
"D6","D6_Pork","1","Y - Pork"
"D6","D6_Pork","0","N - Pork"
"D6","D6_Potatoes","1","Y - Potatoes"
"D6","D6_Potatoes","0","N - Potatoes"
"D6","D6_Pumpkin","1","Y - Pumpkin"
"D6","D6_Pumpkin","0","N - Pumpkin"
"D6","D6_Rice","1","Y - Rice"
"D6","D6_Rice","0","N - Rice"
"D6","D6_Saga","1","Y - Saga"
"D6","D6_Saga","0","N - Saga"
"D6","D6_Sweet potatoes","1","Y - Sweet potatoes"
"D6","D6_Sweet potatoes","0","N - Sweet potatoes"
"D6","D6_Tea","1","Y - Tea"
"D6","D6_Tea","0","N - Tea"
"D6","D6_Terere","1","Y - Terere"
"D6","D6_Terere","0","N - Terere"
"D6","D6_Ugali","1","Y - Ugali"
"D6","D6_Ugali","0","N - Ugali"
"D6","D6_Uji","1","Y - Uji"
"D6","D6_Uji","0","N - Uji"
"D6","D6_Yams","1","Y - Yams"
"D6","D6_Yams","0","N - Yams"
"D6","D6_Other, specify","1","Y - Other, specify"
"D6","D6_Other, specify","0","N - Other, specify"
"D7","D7","1","Yes"
"D7","D7","0","No"
"D8","D8_Electric stove","1","Y - Electric stove"
"D8","D8_Electric stove","0","N - Electric stove"
"D8","D8_Kerosene stove","1","Y - Kerosene stove"
"D8","D8_Kerosene stove","0","N - Kerosene stove"
"D8","D8_Cooking gas/LPG stove","1","Y - Cooking gas/LPG stove"
"D8","D8_Cooking gas/LPG stove","0","N - Cooking gas/LPG stove"
"D8","D8_Traditional solid fuel stove (non-manufactured)","1","Y - Traditional solid fuel stove (non-manufactured)"
"D8","D8_Traditional solid fuel stove (non-manufactured)","0","N - Traditional solid fuel stove (non-manufactured)"
"D8","D8_Manufactured solid fuel stove","1","Y - Manufactured solid fuel stove"
"D8","D8_Manufactured solid fuel stove","0","N - Manufactured solid fuel stove"
"D8","D8_Three stone stove/open fire","1","Y - Three stone stove/open fire"
"D8","D8_Three stone stove/open fire","0","N - Three stone stove/open fire"
"D8","D8_Other, specify","1","Y - Other, specify"
"D8","D8_Other, specify","0","N - Other, specify"
"D9","D9_Charcoal unprocessed","1","Y - Charcoal unprocessed"
"D9","D9_Charcoal unprocessed","0","N - Charcoal unprocessed"
"D9","D9_Charcoal briquettes/pellets","1","Y - Charcoal briquettes/pellets"
"D9","D9_Charcoal briquettes/pellets","0","N - Charcoal briquettes/pellets"
"D9","D9_Wood","1","Y - Wood"
"D9","D9_Wood","0","N - Wood"
"D9","D9_Agricultural or crop residue/grass/","1","Y - Agricultural or crop residue/grass/"
"D9","D9_Agricultural or crop residue/grass/","0","N - Agricultural or crop residue/grass/"
"D9","D9_straw/shrubs/corn cobs","1","Y - straw/shrubs/corn cobs"
"D9","D9_straw/shrubs/corn cobs","0","N - straw/shrubs/corn cobs"
