"Question","Variable","Value","Label"
"County","County","1","Translate to French: Kesses"
"County","County","2","Translate to French: Turbo"
"Staff Code","Staff Code","1","Translate to French: KE01 Kingston M Anabwani"
"Staff Code","Staff Code","2","Translate to French: KE02 Noelle B Sutton"
"Staff Code","Staff Code","3","Translate to French: KE03 Joan  Chepng'eno"
"Staff Code","Staff Code","4","Translate to French: KE04 Gilbert Nyauke"
"Staff Code","Staff Code","5","Translate to French: KE05 Benard Bosire"
"Staff Code","Staff Code","6","Translate to French: KE06 Sharon Cherono"
"Staff Code","Staff Code","7","Translate to French: KE07 Seth Owiti"
"Staff Code","Staff Code","8","Translate to French: KE08 Ruth Jepchirchir"
"Staff Code","Staff Code","9","Translate to French: KE09 Joseck K Erambo"
"Staff Code","Staff Code","10","Translate to French: KE10 Racheal C Samoei"
"Staff Code","Staff Code","11","Translate to French: KE11 Dr Judy Mang'eni"
"A6","A6","1","Translate to French: Yes"
"A6","A6","0","Translate to French: N0"
"A7","A7","1","Translate to French: Person refuses"
"A7","A7","2","Translate to French: Primary cook not available"
"A7","A7","3","Translate to French: New appointment arranged"
"A7","A7","4","Translate to French: Other, specify"
"Same respondent","Same respondent","1","Translate to French: Yes"
"Same respondent","Same respondent","0","Translate to French: No"
"Gender","Gender","Male","Translate to French: Male"
"Gender","Gender","Female","Translate to French: Female"
"Marital Status","Marital Status","1","Translate to French: Married"
"Marital Status","Marital Status","2","Translate to French: Living together with partner/cohabiting"
"Marital Status","Marital Status","3","Translate to French: Single"
"Marital Status","Marital Status","4","Translate to French: Widowed"
"Marital Status","Marital Status","5","Translate to French: Divorced/ Separated"
"Ethnic Group","Ethnic Group","1","Translate to French: Kalenjin"
"Ethnic Group","Ethnic Group","2","Translate to French: Kikuyu"
"Ethnic Group","Ethnic Group","3","Translate to French: Luhya"
"Ethnic Group","Ethnic Group","4","Translate to French: Luo"
"Ethnic Group","Ethnic Group","5","Translate to French: Kamba"
"Ethnic Group","Ethnic Group","6","Translate to French: Maasai"
"Ethnic Group","Ethnic Group","7","Translate to French: Kisii"
"Ethnic Group","Ethnic Group","8","Translate to French: Other, specify"
"Household Head","Household Head","1","Translate to French: Yes"
"Household Head","Household Head","0","Translate to French:  No"
"Main Cook","Main Cook","Yes","Translate to French: Yes"
"Main Cook","Main Cook","No","Translate to French: No"
"B6","B6","1","Translate to French: No formal education"
"B6","B6","2","Translate to French: Primary"
"B6","B6","3","Translate to French: Secondary/High school"
"B6","B6","4","Translate to French: University (Under graduate, Post graduate)"
"B6","B6","5","Translate to French: Other, Specify"
"Own or Rent","Own or Rent","1","Translate to French: Rent"
"Own or Rent","Own or Rent","2","Translate to French: Own"
"Own or Rent","Own or Rent","3","Translate to French: Other arrangement (please specify)"
"Head of household employment status","Head of household employment status","1","Translate to French: Yes"
"Head of household employment status","Head of household employment status","0","Translate to French: No"
"Head of household Occupation","Head of household Occupation_Translate to French: Farms own land (whether that land is owned or rented)","1","Y - Translate to French: Farms own land (whether that land is owned or rented)"
"Head of household Occupation","Head of household Occupation_Translate to French: Farms own land (whether that land is owned or rented)","0","N - Translate to French: Farms own land (whether that land is owned or rented)"
"Head of household Occupation","Head of household Occupation_Translate to French: Day labourer (farming another person’s land, builder, daily worker etc.)","1","Y - Translate to French: Day labourer (farming another person’s land, builder, daily worker etc.)"
"Head of household Occupation","Head of household Occupation_Translate to French: Day labourer (farming another person’s land, builder, daily worker etc.)","0","N - Translate to French: Day labourer (farming another person’s land, builder, daily worker etc.)"
"Head of household Occupation","Head of household Occupation_Translate to French: Government employee (doctor, nurse, police, teacher etc.)","1","Y - Translate to French: Government employee (doctor, nurse, police, teacher etc.)"
"Head of household Occupation","Head of household Occupation_Translate to French: Government employee (doctor, nurse, police, teacher etc.)","0","N - Translate to French: Government employee (doctor, nurse, police, teacher etc.)"
"Head of household Occupation","Head of household Occupation_Translate to French: Employee in a business (Factory/industrial worker, works in a shop, receptionist, security guard, etc.)","1","Y - Translate to French: Employee in a business (Factory/industrial worker, works in a shop, receptionist, security guard, etc.)"
"Head of household Occupation","Head of household Occupation_Translate to French: Employee in a business (Factory/industrial worker, works in a shop, receptionist, security guard, etc.)","0","N - Translate to French: Employee in a business (Factory/industrial worker, works in a shop, receptionist, security guard, etc.)"
"Head of household Occupation","Head of household Occupation_Translate to French: Has own business (businessman, owns a shop, trader etc.)","1","Y - Translate to French: Has own business (businessman, owns a shop, trader etc.)"
